fileID,f1,f2,vot,notes
bi03_kaka,1050.46,1891.33,20.01,
bi03_kaka1,833.30,1495.70,23.39,
bi03_kaka2,822.12,1659.80,26.53,
bi03_keke,589.48,2414.55,26.72,
bi03_keke1,525.56,2281.49,19.09,
bi03_keke2,555.79,2487.71,21.09,
bi03_kiki,400.42,2667.24,25.34,
bi03_kiki1,354.83,2690.90,29.57,
bi03_kiki2,347.88,2678.54,22.49,
bi03_koko,588.65,828.24,28.02,
bi03_koko1,553.68,902.57,24.49,
bi03_koko2,749.63,1160.73,23.74,
bi03_kuku,393.76,761.01,24.37,
bi03_kuku1,299.03,1736.22,28.00,
bi03_kuku2,406.59,824.67,26.08,
bi03_paka,1131.33,1700.92,11.70,
bi03_paka1,758.65,1622.58,11.81,
bi03_paka2,644.17,1779.18,11.89,
bi03_peke,420.64,1797.26,10.31,
bi03_peke1,556.08,2331.56,9.43,
bi03_peke2,962.79,2407.49,13.58,
bi03_piki,350.61,2644.89,14.64,
bi03_piki1,328.39,2856.40,18.75,
bi03_piki2,1810.90,2941.83,16.73,
bi03_poko,533.99,886.22,28.45,
bi03_poko1,623.13,1865.05,7.94,
bi03_poko2,515.64,870.68,17.12,
bi03_puku,442.39,576.83,20.85,
bi03_puku1,669.95,1715.70,34.17,
bi03_puku2,422.74,814.15,16.83,
bi03_taka,785.94,1640.76,16.84,
bi03_taka1,846.52,1640.57,16.45,
bi03_taka2,863.61,1532.93,14.99,
bi03_teke,460.82,2349.24,13.11,
bi03_teke1,452.67,2406.16,15.93,
bi03_teke2,433.16,2440.39,18.17,
bi03_tiki,356.85,2505.49,15.40,
bi03_tiki1,888.72,2237.48,13.34,
bi03_tiki2,417.91,1905.22,19.95,
bi03_toko,795.19,973.48,18.77,
bi03_toko1,751.12,1142.44,13.79,
bi03_toko2,773.87,1061.37,13.12,
bi03_tuku,660.47,811.96,11.37,
bi03_tuku1,386.71,731.36,5.97,
bi03_tuku2,395.01,737.97,7.81,
