fileID,f1,f2,vot,notes
ne02_kaka,590.84,1437.68,22.35,
ne02_kaka1,870.48,2209.19,62.94,
ne02_kaka2,77.98,1503.08,49.22,
ne02_keke,464.15,2408.32,26.46,
ne02_keke1,424.21,2481.53,43.16,
ne02_keke2,500.85,2243.07,25.40,
ne02_kiki,356.70,2691.05,56.36,
ne02_kiki1,343.97,2779.35,82.37,
ne02_kiki2,318.82,2783.60,48.37,
ne02_koko,553.42,1041.25,29.83,
ne02_koko1,404.32,1026.42,26.71,
ne02_koko2,529.08,1076.27,34.17,
ne02_kuku,892.95,1113.98,52.04,
ne02_kuku1,336.99,1143.45,55.40,
ne02_kuku2,481.30,1141.18,47.83,
ne02_paka,761.80,1680.30,19.46,
ne02_paka1,863.92,1521.54,17.04,
ne02_paka2,1055.36,1785.00,15.66,
ne02_peke,544.66,2393.68,40.68,
ne02_peke1,525.19,2456.19,8.64,
ne02_peke2,529.60,2469.49,34.95,
ne02_piki,346.27,2627.83,5.52,
ne02_piki1,380.97,2710.23,6.70,
ne02_piki2,445.66,2643.52,7.25,
ne02_poko,578.32,1034.92,16.34,
ne02_poko1,1021.82,2160.31,21.65,
ne02_poko2,616.31,1564.72,19.21,
ne02_puku,436.62,1053.90,22.98,
ne02_puku1,493.96,1209.62,31.07,
ne02_puku2,449.36,1261.87,21.68,
ne02_taka,449.36,1261.87,21.68,
ne02_taka1,828.28,1591.14,11.83,
ne02_taka2,807.68,1661.53,21.70,
ne02_teke,518.18,2397.23,22.75,
ne02_teke1,479.72,2481.82,27.88,
ne02_teke2,665.31,1854.87,28.77,
ne02_tiki,299.92,2860.63,31.38,
ne02_tiki1,314.76,2752.52,28.48,
ne02_tiki2,291.64,2705.72,28.00,
ne02_toko,500.19,994.39,27.27,
ne02_toko1,595.35,1155.93,45.13,
ne02_toko2,536.02,1020.34,28.51,
ne02_tuku,469.89,1304.34,32.55,
ne02_tuku1,441.39,1121.08,36.65,
ne02_tuku2,732.00,1468.51,32.44,
